                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
98,0.8545,0.41449,0.83214,0.99349,0.31757,0.82702,0.97535,0.97851,0.99356,0.8036,0.67008,0.34944,0.80457,0.73456,0.22366,0.80004,0.0010496,0.0010496,0.0010496
99,0.85792,0.40856,0.82993,0.99144,0.31462,0.82256,0.97373,0.98167,0.99327,0.80801,0.65544,0.34273,0.80384,0.71498,0.22397,0.79958,0.0010397,0.0010397,0.0010397
100,0.85031,0.40689,0.83111,0.98302,0.31755,0.82319,0.97029,0.97501,0.99271,0.80152,0.66706,0.34365,0.80574,0.73261,0.23264,0.79993,0.0010298,0.0010298,0.0010298
101,0.84304,0.40538,0.83053,0.96445,0.31221,0.82546,0.97743,0.97389,0.9933,0.81475,0.63605,0.33573,0.80124,0.70184,0.22018,0.79686,0.0010199,0.0010199,0.0010199
102,0.83625,0.40465,0.83369,0.96273,0.30606,0.82633,0.97125,0.97919,0.99342,0.80913,0.6478,0.34183,0.8016,0.71387,0.22589,0.7973,0.00101,0.00101,0.00101
103,0.84051,0.40513,0.83131,0.97393,0.30957,0.82487,0.978,0.97753,0.99346,0.809,0.63898,0.33357,0.80138,0.71618,0.22093,0.79821,0.0010001,0.0010001,0.0010001
104,0.84542,0.40531,0.83117,0.97524,0.31344,0.82416,0.97337,0.97201,0.99338,0.8045,0.66559,0.33954,0.80403,0.72007,0.22571,0.79914,0.0009902,0.0009902,0.0009902
105,0.83156,0.4008,0.82853,0.9593,0.30432,0.82267,0.97856,0.98104,0.99396,0.81994,0.61669,0.32768,0.79912,0.67816,0.21494,0.79459,0.0009803,0.0009803,0.0009803
106,0.81842,0.39555,0.82834,0.95181,0.30464,0.82174,0.97887,0.97701,0.9937,0.81903,0.63628,0.33369,0.79959,0.69419,0.21743,0.79454,0.0009704,0.0009704,0.0009704
107,0.80616,0.39275,0.82528,0.92906,0.29793,0.81856,0.97941,0.97487,0.99357,0.81454,0.63612,0.33244,0.79885,0.70433,0.2194,0.79477,0.0009605,0.0009605,0.0009605
108,0.80998,0.3909,0.82896,0.93595,0.30087,0.82041,0.98105,0.97651,0.9938,0.82661,0.60765,0.32542,0.79732,0.67669,0.20897,0.7932,0.0009506,0.0009506,0.0009506
109,0.81551,0.39343,0.826,0.93908,0.30216,0.81867,0.98155,0.98376,0.99413,0.82306,0.60742,0.32479,0.79819,0.67384,0.20744,0.79417,0.0009407,0.0009407,0.0009407
110,0.80093,0.38795,0.82781,0.93005,0.2991,0.81919,0.98385,0.97751,0.99411,0.81619,0.61171,0.32159,0.79791,0.68644,0.2135,0.79412,0.0009308,0.0009308,0.0009308
